"mapper_osm_username","actual_work_date","changesets_count","total_changes"
"gillberto","2026-01-14","1","0"
"JANE NJUGUNA","2026-01-14","2","87"
"Jeremiah james","2026-01-14","7","1129"
"JOEL KIHURIA","2026-01-14","2","1325"
"JOOH JR","2026-01-14","4","1207"
"joyce56","2026-01-14","4","1555"
"KamauNgigi","2026-01-14","16","2784"
"kamauwaithera","2026-01-14","3","1237"
"Kelvin Kinyatta","2026-01-14","3","1255"
"Kelvin Mulela","2026-01-14","2","1287"
"liliannaliaka","2026-01-14","1","1559"
"LYNNKARANJA","2026-01-14","2","5807"
"martingitau","2026-01-14","8","3970"
"mutuku254","2026-01-14","4","1195"
"njugunamurihia","2026-01-14","3","2081"
"Oketch ochieng","2026-01-14","2","4386"
"OUMAD4VD","2026-01-14","2","0"
"Richardmuchina","2026-01-14","4","1398"
"ritah22","2026-01-14","5","1278"
"samuelmutie20","2026-01-14","3","1279"
"Selah Muema","2026-01-14","2","575"
"SomoDuba","2026-01-14","2","1358"
"Sophie Gesare","2026-01-14","2","1230"
"stephennjuguna","2026-01-14","17","1606"
"Steven Odhiambo","2026-01-14","3","5"
"Wanjiruwaithira","2026-01-14","3","1369"
"AUSTINE OCHIENG","2026-01-15","4","1400"
"BenMutua","2026-01-15","7","1691"
"bill njiru","2026-01-15","11","2131"
"Brian Karani","2026-01-15","6","2273"
"catherinewanjira","2026-01-15","6","1429"
"DENNIS MUSAU","2026-01-15","10","2986"
"DIANA KASYULA","2026-01-15","6","1090"
"gillberto","2026-01-15","7","1623"
"JANE NJUGUNA","2026-01-15","7","2293"
"Jeremiah james","2026-01-15","8","1158"
"JOEL KIHURIA","2026-01-15","2","1287"
"JOOH JR","2026-01-15","3","1442"
"joyce56","2026-01-15","3","1430"
"KamauNgigi","2026-01-15","20","3080"
"kamauwaithera","2026-01-15","4","1596"
"Kelvin Kinyatta","2026-01-15","3","1391"
"Kelvin Mulela","2026-01-15","2","1240"
"liliannaliaka","2026-01-15","1","2725"
"LYNNKARANJA","2026-01-15","13","2550"
"martingitau","2026-01-15","14","6508"
"mutuku254","2026-01-15","4","1231"
"njugunamurihia","2026-01-15","2","2429"
"Oketch ochieng","2026-01-15","10","4462"
"OUMAD4VD","2026-01-15","3","785"
"Richardmuchina","2026-01-15","7","1645"
"ritah22","2026-01-15","4","1175"
"samuelmutie20","2026-01-15","3","1263"
"Selah Muema","2026-01-15","5","1979"
"SELINA LIPUKAH","2026-01-15","9","889"
"SomoDuba","2026-01-15","5","1375"
"Sophie Gesare","2026-01-15","8","1154"
"stephennjuguna","2026-01-15","9","1548"
"Steven Odhiambo","2026-01-15","3","1761"
"Wanjiruwaithira","2026-01-15","3","1590"
"AUSTINE OCHIENG","2026-01-16","11","1258"
"BenMutua","2026-01-16","1","1788"
"Brian Karani","2026-01-16","3","1273"
"catherinewanjira","2026-01-16","4","1412"
"DENNIS MUSAU","2026-01-16","10","3188"
"DIANA KASYULA","2026-01-16","4","1140"
"Festus Kaluki","2026-01-16","2","481"
"gillberto","2026-01-16","3","1627"
"JANE NJUGUNA","2026-01-16","5","1974"
"Jeremiah james","2026-01-16","4","1318"
"JOEL KIHURIA","2026-01-16","1","1183"
"JOOH JR","2026-01-16","2","1349"
"joyce56","2026-01-16","3","1341"
"KamauNgigi","2026-01-16","26","3430"
"kamauwaithera","2026-01-16","12","1555"
"Kelvin Kinyatta","2026-01-16","2","1190"
"Kelvin Mulela","2026-01-16","2","1297"
"liliannaliaka","2026-01-16","1","216"
"LYNNKARANJA","2026-01-16","3","1755"
"martingitau","2026-01-16","10","3230"
"mutuku254","2026-01-16","4","1201"
"njugunamurihia","2026-01-16","7","1261"
